,product_name,product_category,price,product_images,product_description,product_benefits,product_details,productdata_content,other_colors
244,Nike Air Max Plus,Men's Shoes,"SAR 1,150.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwce14edbe/nk/348/3/a/e/3/7/3483ae37_e1b9_4f09_91c2_9c810b298a32.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5a789c6f/nk/190/c/a/1/c/6/190ca1c6_0778_4250_acac_2dd3d057b724.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw76b77ed5/nk/c56/c/d/8/7/f/c56cd87f_2d04_4846_900d_906cfcd9cb95.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw74e3619e/nk/ebc/9/e/8/6/8/ebc9e868_f3e4_4401_a88a_f25727c3816b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw516e7dd4/nk/860/1/2/f/3/5/86012f35_d363_4cd6_bc8f_91da373f9497.png?sw=540&sh=540&sm=fit&q=80']","Let your attitude have the edge with flame-like caging that adds heat to the streets, while airy mesh keeps you cool. The Nike Air Max Plus gives you a tuned Nike Air experience that offers premium stability and unbelievable cushioning.","[""Bringing beach life to the city, the prominent arch draws inspiration from a whale's tail and adds structure, while the iconic wavy lines nod to palm trees and ocean waves."", 'Originally designed for performance running, Nike Air technology provides cushioning that lasts.', 'Full-length rubber outsole adds traction and durability to your journey.']","['Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Black/White/Deep Royal/Scream Green', 'Style: DX4326-001']","Revolutionary Air technology first made its way into Nike footwear in 1978. The Air Max 1 debuted with visible Air technology in its heel, allowing fans more than just the feel of Air cushioning—suddenly they could see it. Since then, next-generation Air Max shoes have become a hit with athletes and collectors by offering striking colour combinations and reliable, lightweight cushioning.",[]
245,Nike Air Force 1 '07,Men's Shoes,SAR 800.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6bda488d/nk/f62/c/b/1/1/7/f62cb117_0219_4d4f_a1df_e0ee9651d16f.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw80806793/nk/257/e/3/8/2/f/257e382f_7dcf_407c_8b86_f51f68d7d0d8.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb6cb96cf/nk/91c/6/2/f/c/6/91c62fc6_5f47_4374_a02b_a3f9d5431138.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc375ac54/nk/850/e/7/f/b/9/850e7fb9_93e1_423a_ba38_4fc5f2965b69.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw71c444e3/nk/740/e/a/e/4/a/740eae4a_6445_4b2d_8153_0da59a1d5c91.png?sw=540&sh=540&sm=fit&q=80']","Keep it classic—but elevated—in this timeless, easy-to-wear hoops style. Crisp leather features debossed details and gives these kicks a premium feel. Retro branding and varsity-inspired colours provide a heritage look for nothing-but-net style. Of course, some things never change: Nike Air units still cushion your every step.","[""From tough stitching to pristine materials to the cupsole design, these kicks deliver durable style that's smoother than backboard glass."", 'Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.', 'Low-cut, padded collar looks sleek and feels great.', 'Rubber outsole with heritage hoops pivot circles adds traction and durability.']","['Foam in midsole', 'Perforations on the toe', 'Colour Shown: White/Speed Yellow/Bold Berry', 'Style: FJ4209-100']","Debuting in 1982 as a basketball must-have, the Air Force 1 came into its own in the '90s. The clean look of the classic white-on-white AF-1 was endorsed from the basketball courts to the street and beyond. Finding its rhythm in hip-hop culture, releasing limited collabs and colourways, Air Force 1 became an iconic sneaker around the globe. And with over 2,000 iterations of this staple, its impact on fashion, music and sneaker culture can't be denied.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw913e5f32/nk/4a0/0/4/2/8/2/4a004282_435d_476f_a4af_4ecdba490300.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw77224864/nk/86b/d/5/c/4/5/86bd5c45_c3e3_4828_803f_4e683e0f143a.png?sw=520&sh=520&sm=fit']"
246,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Football Boot,"SAR 1,700.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb37ce72a/nk/006/d/a/7/1/5/006da715_17f2_4da5_89cc_da6825e2c5df.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd550810c/nk/264/c/1/d/e/3/264c1de3_77b6_46f0_bf47_e394a2c83cd7.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw06459c19/nk/217/f/d/6/1/a/217fd61a_8680_4dd9_9335_ed89bcb939ca.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdd6c2ccf/nk/131/2/c/d/0/9/1312cd09_92fd_4570_8c2d_9a61a40c7048.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw919a7f41/nk/2ab/f/4/e/9/6/2abf4e96_82e8_4b40_9a86_f52b2fd60972.png?sw=540&sh=540&sm=fit&q=80']","Instantly tilt the pitch in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit made specifically for football and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the pitch, making the critical plays with velocity and pace. Fast is in the Air.","['For use on slightly wet, short-grass pitches', 'Cushioned insole', 'Colour Shown: Pink Blast/Gridiron/Volt', 'Style: DJ4977-605']","[""For the first time in our history, Nike has developed an all-new, football-specific 3/4 Zoom Air unit. It sits in the plate and provides an additional level of springy underfoot feel that helps you move faster on the pitch and create separation when it matters the most—whether you're scoring goals, being first to the ball or going by defenders.""]",The speed cage inside of the structure is made from a thin but strong material that secures the foot to the outsole without adding additional weight for optimal lockdown.,[]
247,Jordan Point Lane,Men's Shoes,SAR 850.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw933935fe/nk/154/0/5/0/f/7/154050f7_d94d_45be_b141_92fa74e39da0.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw28b096ad/nk/0f3/8/c/b/d/7/0f38cbd7_24db_43c1_81aa_ae52defc826e.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6429f770/nk/381/9/4/d/1/6/38194d16_040a_44f6_9bef_f35e62d2fb29.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw9cfd3f0c/nk/911/9/8/4/5/0/91198450_4148_4f18_a2f2_3c86df8aff28.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw68b32e2d/nk/227/1/7/3/c/6/227173c6_ba00_447c_b4d5_3a648674ed65.png?sw=540&sh=540&sm=fit&q=80']","The Jordan Point Lane mixes elements from game shoes MJ wore during 3 of his most memorable seasons.Named after his Chicago address, this mash-up pulls in bits and pieces from the AJ3, AJ6 and AJ11 to create a shoe that's inspired by greatness and uncompromising in its comfort.",['High tongue is lightweight and flexible.'],"['Lace loops', 'Perforation details', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Wolf Grey/Cool Grey/White', 'Style: CZ4166-002']","3 amazing shoes, 3 memorable seasons.In the AJ3, Michael Jordan scored the most points.In the AJ6, he won his first championship.And in the AJ11, he won his 4th ring after leading his team to a then-record-setting 72–10 season.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd7ed6131/nk/d6a/3/b/6/2/6/d6a3b626_a036_4136_ac65_32acee849892.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwee3a1f14/nk/f10/5/d/d/5/5/f105dd55_53d0_4a50_b43a_55bd9231c658.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0a2491fa/nk/c68/d/f/5/4/e/c68df54e_9706_4409_95fb_1661e80272b8.png?sw=520&sh=520&sm=fit']"
248,Nike Alphafly 2,Men's Road Racing Shoes,"SAR 1,900.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdb68ec3a/nk/484/3/6/0/2/6/48436026_d174_4dc6_ac7b_17917df5010c.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd8c45113/nk/317/3/f/f/8/d/3173ff8d_188d_4ca8_80fc_0a9003e5267b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw91754f9e/nk/9c9/7/5/7/4/c/9c97574c_11c4_48c6_bfa4_03b9966c5211.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw7ac18835/nk/d94/e/b/3/f/3/d94eb3f3_3bbf_4018_95c0_d0131850e9d8.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw244b42b8/nk/d04/3/5/8/5/a/d043585a_a738_4a6b_90b2_f4937ff67e6b.png?sw=540&sh=540&sm=fit&q=80']","Once you take a few strides in the Nike Air Zoom Alphafly NEXT% 2, you'll never look at your favourite pair of old racing shoes the same way again. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system marries the 2 worlds of comfort and speed in holy running matrimony. Enjoy the greatest energy return of all our racing shoes while you chase your personal bests.","['Part of the Flyknit family—AtomKnit material on the upper has a contoured fit while being lightweight and super-breathable.', 'Specifically designed lofted heel pods use Flyknit yarns for secure, extended comfort and lightweight heel lockdown.', 'Notched laces offer a secure, but soft lace-up. An integrated knit tongue with lofted padding makes for a secure, repeatable fit that helps reduce lace pressure.', 'The sole was designed using data from hundreds of runners. It has different angles of traction placed where you need it, providing grip from foot-strike to toe-off.']","['Reflective design details', 'This product is not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Hyper Pink/Laser Orange/White/Black', 'Style: DN3555-600']","Zoom Air units and full-length ZoomX foam deliver Nike's highest energy return cushioning system, adding more bounce into every step. A thin rubber outsole enhances traction and allows for more ZoomX under the Zoom Air cushioning. The additional foam not only adds more bounce, but also helps improve transition from heel to forefoot.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdbfb805f/nk/f96/4/5/0/5/6/f9645056_9dc0_4b24_9006_57bf348e8f47.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw615efde2/nk/b6e/1/1/c/b/d/b6e11cbd_509d_483d_b21d_850e2d7924ca.png?sw=520&sh=520&sm=fit']"
249,Nike Air Max Alpha Trainer 5,Men's Training Shoes,SAR 500.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw538cfeb8/nk/fa6/5/1/f/d/f/fa651fdf_db6f_46f2_83a6_2b1205bf1c34.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb60d478c/nk/707/f/4/3/a/5/707f43a5_542f_4d20_861a_18ce27203abe.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0c0767be/nk/927/e/9/b/f/9/927e9bf9_deaa_41e7_acb7_1b8c2bba348b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0a45f4c8/nk/3ed/5/a/e/9/9/3ed5ae99_9749_4497_bc58_9968b18a3968.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1cf2a4ea/nk/dc9/b/5/e/7/2/dc9b5e72_4679_41d7_8ea1_318b0645660c.png?sw=540&sh=540&sm=fit&q=80']","Finish your last rep with power and rack it with a roar that stuns the gym floor in the Nike Air Max Alpha Trainer 5. Max Air cushioning offers comfortable stability for lifting whether it's a light or heavy day. A wide, flat base gives you enhanced stability and grip for all kinds of tough workouts without sacrificing style, as you roam from station to station and set to set.","['Durable, breathable mesh in upper', 'Heel pull tab', 'Colour Shown: Black/Black/White', 'Style: DM0829-001']",['A foam midsole with a Max Air unit at the heel cushions your foot for comfort that lasts. The foam collar pads your ankle from 1 move to the next.'],"The flat, wide sole with an enhanced rubber tread pattern gives you stability and traction. Rubber wraps up the side to keep your foot firmly on the sole during lateral movement. Flex grooves in the forefoot are designed for lunges.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw675d3c54/nk/15a/a/c/6/5/3/15aac653_dbf1_495e_ac5e_3c08a9af9399.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw861fbe7b/nk/9c2/7/b/3/c/d/9c27b3cd_61af_4874_99c9_a41385292fa3.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw7f4dc6eb/nk/287/0/1/2/9/7/28701297_a726_4e91_9735_fb2471f2f308.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1804aca8/nk/68c/2/8/c/4/9/68c28c49_4c26_4f81_9b4e_0e9760edcef9.png?sw=520&sh=520&sm=fit']"
250,Air Jordan 1 Mid,Men's Shoes,SAR 800.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0c3d965f/nk/121/8/0/a/9/0/12180a90_af35_45a9_afd7_9bdbecacfb76.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw74aabb51/nk/569/f/2/d/2/6/569f2d26_e415_4dd7_822a_5346698e58af.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw481344e8/nk/f13/f/9/e/b/0/f13f9eb0_3d45_40fb_ab8c_637c0108c508.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0c2f6817/nk/bd7/b/c/8/7/1/bd7bc871_3e43_4167_b06b_dbf6ad51ab5b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw020dc4b5/nk/c0d/6/6/6/f/f/c0d666ff_579a_476f_b00b_9d9f88b3d065.png?sw=540&sh=540&sm=fit&q=80']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colours and crisp leather give it a distinct identity.","['Leather, synthetic leather and textile upper for a supportive feel.', 'Foam midsole and Nike Air cushioning provide lightweight comfort.', 'Rubber outsole with pivot circle gives you durable traction.']","['Colour Shown: Black/White/Fire Red', 'Style: DQ8426-060']",,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc438cd5e/nk/470/4/b/a/4/4/4704ba44_0d65_41dc_bd5b_57bfcf5f7b14.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw379b0a9e/nk/200/5/f/a/7/c/2005fa7c_c506_43f1_9448_a985c8cad07a.png?sw=520&sh=520&sm=fit']"
251,Nike Victori One,Men's Slide,SAR 200.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw44978a2f/nk/cef/0/6/7/4/f/cef0674f_16f8_434b_bbeb_7983c0c724bd.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe3211a38/nk/cbc/b/6/a/8/1/cbcb6a81_31b5_4d9d_98b8_16d857ac720c.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw45ddafd9/nk/507/b/9/2/4/c/507b924c_0fb5_430f_9bf9_51caefd14e44.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwfbdf25f1/nk/029/9/3/d/a/6/02993da6_bfc3_4cab_ba03_f1bd91766e5e.png?sw=540&sh=540&sm=fit&q=80']","From the beach to the bleachers, the Nike Victori One perfects a classic, must-have design. Delivering lightweight comfort that's easy to wear, it's updated with softer, more responsive foam. The contoured grip pattern helps cradle and hold your foot in place while the new padded strap feels as good as it looks.","['The new, softer foam and mechanical cushioning adds unbelievable responsiveness and comfort that lasts.', 'The contoured footbed cradles and supports your foot while its grip pattern helps keep your foot in place.', 'The rolled top edge of the strap adds to the comfort while its thick padding feels soft.', 'The new strap design adds additional space, accommodating more foot sizes.', 'The outsole features a new pattern for added traction.']","['Bold ""NIKE"" and Swoosh on the strap lets you rep your brand.', 'Colour Shown: Black/Black/White', 'Style: CN9675-002', 'Country/Region of Origin: ID']",,[]
252,Kyrie Low 5,Basketball Shoes,SAR 750.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe4286192/nk/881/3/3/5/2/b/8813352b_de4e_4a14_8714_718c631cd9f3.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw62c42bd5/nk/314/9/1/5/c/e/314915ce_cee0_4ea5_b939_6e1917982fef.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb8be3489/nk/101/0/7/e/7/1/10107e71_96b8_48bb_9670_30a0e54ab364.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd9d395e1/nk/5e8/1/7/d/8/8/5e817d88_69ee_4aa9_90f2_f7f2eb8c1e8f.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw36610644/nk/864/2/a/c/e/4/8642ace4_459b_4641_ae76_8327bd6ef5cf.png?sw=540&sh=540&sm=fit&q=80']","Designed for a quick, crafty game, this shoe enables players who use their speed and multi-directional ability to stay in control while taking advantage of the separation they create.","['The laces feed through interlocking bands in the forefoot. When you tighten the laces, they pull down to help keep your foot comfortably secure inside the shoe.']","['The foam in the midsole feels soft and smooth, while helping to keep you low to the ground and enhancing the sensation of court feel. A top-loaded Zoom Air unit under the ball of your foot responds to your force with a burst of returned energy at every step.']","The computer-generated outsole pattern lets you quickly accelerate, slow down and change direction, helping you feel in control of your movement.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0f5ea06b/nk/03a/e/f/3/6/f/03aef36f_9eac_4657_aa0a_b3bb34f5a90c.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6432ea5f/nk/69c/0/9/d/5/9/69c09d59_ad6d_422b_a0fb_f502fd3857c7.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw08ba6734/nk/0c7/8/3/c/2/b/0c783c2b_ac48_4ec5_8187_6e29a952357d.png?sw=520&sh=520&sm=fit']"
253,Nike React Vision,Men's Shoe,SAR 850.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5a0e3b51/nk/a9c/5/0/a/2/7/a9c50a27_b89b_40c3_b7c2_5bdeaf5c41cf.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw96957eb1/nk/ffb/1/d/3/6/1/ffb1d361_2185_4c2a_8893_bbe00cbad8fd.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw00374f50/nk/a92/2/d/0/e/2/a922d0e2_6e3c_4b07_b02e_40316a06b05f.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwfc8d5998/nk/4cb/d/f/f/d/3/4cbdffd3_981c_4c29_b0b6_48a3cf6375e5.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwf4fb0122/nk/3d3/4/5/a/4/6/3d345a46_220c_435b_97e1_10e7400fab60.png?sw=540&sh=540&sm=fit&q=80']","The Nike React Vision is a story of surreal comfort. Layered textures, shapes and vivid colours are combined in a design influenced by the exaggerated world of our dreams, while React foam and an ultra-plush tongue provide surreal comfort.","['Rubber pods on the sole add traction and durability', 'D/MS/X label on pull tabs and insole', 'Outlined Swoosh is printed on side', 'Colour Shown: Black/Black/Anthracite/Anthracite', 'Style: CD4373-004', 'Country/Region of Origin: CN']","['Richly textured fabrics add to the continuously shifting sensation. In combination with a transparent heel clip and distorted sides, they create a unique layered look.']",The revolutionary seamless mesh on the upper allows for colour pops and surreal textures. Its subtle pattern adds the perfect amount of bite to your look.,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw50084c19/nk/c6c/1/b/0/a/3/c6c1b0a3_60ed_40d2_9aca_341468fb222e.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb1ed794a/nk/f0e/f/4/1/c/2/f0ef41c2_9e90_43cf_9f54_3a9fd51588e0.png?sw=520&sh=520&sm=fit']"
254,Nike Structure 24,Men's Road Running Shoes,SAR 800.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwda956b1f/nk/2a9/f/7/8/0/e/2a9f780e_65e2_477f_a209_a519503251f4.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw3a5cf5e2/nk/35a/1/c/3/c/5/35a1c3c5_a124_4add_8a96_8a21d26174c5.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1eb6b814/nk/73b/6/e/1/5/e/73b6e15e_5c19_45f3_abb5_8a0f84eecc20.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw7fbad35a/nk/0ac/f/c/0/e/0/0acfc0e0_c85f_4ba1_9b67_47e6796c0d24.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0226438a/nk/e9d/f/8/e/f/9/e9df8ef9_b199_4329_83dd_35c6ebf2059e.png?sw=540&sh=540&sm=fit&q=80']","The Nike Structure 24 has you ready to hit the road. We tested hundreds of runners to design the crash pad under your heel that creates a cushioned, smooth transition from heel to toe. Those insights also created an airy upper with breathability right where you need it.","['Mesh is engineered for durability.', 'Laces can be cinched down for a secure feel.', 'A softer and more durable lining around the heel and ankle helps keep socks from bunching up when you run.', 'Comfy tongue helps pad the laces.', 'Moulded heel securely hugs your foot.']","[""Weight: 312g/11.0 oz (Men's size 10)"", 'Offset: 8mm (Forefoot: 19mm, Heel: 27mm)', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Black/White', 'Style: DA8535-001']","A Zoom Air unit in the forefoot offers responsive cushioning. Every step helps create energy return to help drive you forwards. It's combined with a foam midsole for a firm, yet smooth and stable feeling as your foot hits the ground.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw2411fe7c/nk/2ca/5/7/1/9/7/2ca57197_5ff7_4b13_a515_7223bcc859cb.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw50f4e223/nk/7ab/5/3/6/e/f/7ab536ef_0198_473d_add7_155323ccefae.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw7ed965e5/nk/12a/6/3/f/e/3/12a63fe3_1813_4797_bf6a_607048b94719.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc8d6c90e/nk/734/2/d/3/5/1/7342d351_30d9_4dcb_b4a0_bab35d1e3fbc.png?sw=520&sh=520&sm=fit']"
